point_id,t_skin,n_str,h_str,t_str
0,2.27826,4,16.98999,1.60536
1,1.71376,5,20.1241,2.02454
2,2.65267,4,32.02234,2.47027
3,1.95738,5,20.789,1.86653
4,1.15637,3,18.5809,1.48216
5,2.21715,6,32.70341,1.63524
6,1.8334,4,10.44072,2.67463
7,2.3958,3,33.34999,1.81497
8,1.76498,4,17.22229,2.62936
9,2.18862,5,33.84802,1.15274
10,2.78618,4,38.706,1.43086
11,2.98065,5,27.73044,2.33831
12,1.92371,2,17.83976,1.71918
13,2.11293,2,39.49802,2.40523
14,1.08483,5,13.09934,2.07456
15,2.33794,3,15.4031,1.03291
16,1.35346,5,13.71674,2.97071
17,1.87241,3,15.93865,2.84998
18,2.13602,4,27.16296,2.87804
19,1.37237,4,23.6879,2.05327
20,2.08668,5,22.05914,2.51195
21,2.23915,4,19.23177,1.31004
22,2.91018,2,24.53653,2.25918
23,2.44473,6,19.85925,1.23356
24,2.71068,5,31.63641,2.57491
25,2.5879,2,14.01526,2.15782
26,1.47564,6,21.89079,1.04091
27,2.73516,3,28.34298,1.99059
28,1.25154,5,37.54051,1.07508
29,2.50401,3,22.7848,1.56822
30,1.27977,3,18.1607,1.44155
31,1.41429,4,10.54306,1.2164
32,1.98206,2,35.51943,2.71161
33,2.81906,2,11.95025,1.28985
34,2.96633,4,26.38815,2.96135
35,2.6836,5,23.47983,2.56242
36,1.63467,4,34.53352,2.29297
37,1.20666,4,12.68956,1.77319
38,2.62773,5,26.67676,1.5507
39,1.3154,5,29.07644,2.1121
40,2.03897,4,38.00552,2.18691
41,1.79194,5,39.83482,2.30646
42,1.45994,2,29.78307,1.95361
43,1.59728,2,21.33791,2.82948
44,2.49177,3,16.21948,1.7402
45,2.311,6,30.60762,1.35267
46,1.56644,3,31.44208,1.39508
47,2.02861,3,24.33492,2.38065
48,1.03553,6,36.07825,1.16738
49,2.54911,3,14.97555,2.90523
50,1.01223,5,11.1351,1.53323
51,2.40486,3,37.23008,2.77728
52,1.18022,6,28.7506,2.23312
53,1.51149,5,12.28241,1.89577
54,1.6121,6,25.91742,1.91767
55,1.82848,4,35.25827,1.67491
56,2.89603,4,25.07526,1.11883
57,2.84082,4,36.88161,2.73632
58,1.69612,3,30.36116,2.65664
59,1.13167,3,34.4759,2.45547
60,1.32682,5,22.77019,1.81473
61,2.92625,2,29.46506,1.73803
62,2.13318,4,32.29537,2.70841
63,1.22943,4,21.41809,1.18544
64,1.54575,6,24.45917,2.95433
65,1.2117,5,12.76702,1.32077
66,2.42567,5,18.14775,2.09605
67,1.77595,2,24.29538,1.05505
