point_id,t_skin,n_str,h_str,t_str,mass_kg,lambda_1,N_cr_per_mm,meets_target
0,2.27826,4,16.98999,1.60536,1.41836,1.838937,137.5490,False
1,1.71376,5,20.1241,2.02454,1.23601,4.457055,204.3343,False
2,2.65267,4,32.02234,2.47027,1.91470,6.564663,775.0734,True
3,1.95738,5,20.789,1.86653,1.35799,3.278770,223.9647,False
4,1.15637,3,18.5809,1.48216,0.75778,7.179040,44.9384,False
5,2.21715,6,32.70341,1.63524,1.67874,5.599421,756.5979,True
6,1.8334,4,10.44072,2.67463,1.17463,1.912465,74.5497,False
7,2.3958,3,33.34999,1.81497,1.58447,6.657648,370.6237,True
8,1.76498,4,17.22229,2.62936,1.23311,4.165506,144.8665,False
11,2.98065,5,27.73044,2.33831,2.10790,2.828452,682.2208,True
12,1.92371,2,17.83976,1.71918,1.15484,4.522818,73.3181,False
13,2.11293,2,39.49802,2.40523,1.43889,7.248804,155.7058,False
14,1.08483,5,13.09934,2.07456,0.79203,4.930091,57.3302,False
15,2.33794,3,15.4031,1.03291,1.36624,1.608512,83.2118,False
16,1.35346,5,13.71674,2.97071,1.03573,4.185436,94.5192,False
17,1.87241,3,15.93865,2.84998,1.23048,4.014658,106.6871,False
18,2.13602,4,27.16296,2.87804,1.62229,7.585654,467.6163,True
19,1.37237,4,23.6879,2.05327,1.03346,7.827368,127.9706,False
20,2.08668,5,22.05914,2.51195,1.54530,4.033300,333.7884,True
21,2.23915,4,19.23177,1.31004,1.38505,1.956196,138.9129,False
22,2.91018,2,24.53653,2.25918,1.77216,4.393599,246.5830,False
24,2.71068,5,31.63641,2.57491,2.07329,5.139820,932.4507,True
25,2.5879,2,14.01526,2.15782,1.52295,1.840337,72.6312,False
26,1.47564,6,21.89079,1.04091,1.01049,4.074060,162.2951,False
27,2.73516,3,28.34298,1.99059,1.75602,4.807018,398.1848,True
28,1.25154,5,37.54051,1.07508,0.97635,6.938772,123.8968,False
29,2.50401,3,22.7848,1.56822,1.54123,2.960199,188.1437,False
30,1.27977,3,18.1607,1.44155,0.82072,6.928400,58.7881,False
31,1.41429,4,10.54306,1.2164,0.85765,1.757110,31.4409,False
32,1.98206,2,35.51943,2.71161,1.36978,7.539324,133.6799,False
33,2.81906,2,11.95025,1.28985,1.61025,1.370426,69.9120,False
34,2.96633,4,26.38815,2.96135,2.08376,3.592014,593.0306,True
35,2.6836,5,23.47983,2.56242,1.91023,2.670064,470.0220,True
36,1.63467,4,34.53352,2.29297,1.34914,7.886459,217.8979,False
37,1.20666,4,12.68956,1.77319,0.79601,3.725500,41.4019,False
38,2.62773,5,26.67676,1.5507,1.74852,2.568687,424.5185,True
39,1.3154,5,29.07644,2.1121,1.15818,8.335880,172.8097,False
40,2.03897,4,38.00552,2.18691,1.59578,7.269047,389.7541,True
41,1.79194,5,39.83482,2.30646,1.63487,7.837170,410.7455,True
42,1.45994,2,29.78307,1.95361,0.97348,7.407244,52.4862,False
43,1.59728,2,21.33791,2.82948,1.05593,7.756592,71.9776,False
44,2.49177,3,16.21948,1.7402,1.50312,1.756879,110.0339,False
46,1.56644,3,31.44208,1.39508,1.05385,6.844190,106.4937,False
47,2.02861,3,24.33492,2.38065,1.36949,7.138622,241.2519,False
48,1.03553,6,36.07825,1.16738,0.92701,7.628045,105.0118,False
49,2.54911,3,14.97555,2.90523,1.59873,1.957411,131.2528,False
50,1.01223,5,11.1351,1.53323,0.68145,3.116620,29.4418,False
51,2.40486,3,37.23008,2.77728,1.76827,7.339164,413.2156,True
52,1.18022,6,28.7506,2.23312,1.19166,8.941899,182.2449,False
53,1.51149,5,12.28241,1.89577,1.00222,2.003056,63.0017,False
54,1.6121,6,25.91742,1.91767,1.31083,7.527792,391.0032,True
55,1.82848,4,35.25827,1.67491,1.34498,6.944447,268.5277,False
57,2.84082,4,36.88161,2.73632,2.14061,7.000157,1015.1253,True
58,1.69612,3,30.36116,2.65664,1.27939,7.956884,157.1714,False
59,1.13167,3,34.4759,2.45547,0.98222,8.828495,51.7973,False
9,2.18862,5,33.84802,1.15274,1.48805,13.815460,527.6909,True
10,2.78618,4,38.706,1.43086,1.85704,14.815140,810.7258,True
23,2.44473,6,19.85925,1.23356,1.56358,2.494573,180.7531,False
45,2.311,6,30.60762,1.35267,1.63021,8.832781,540.6224,True
56,2.89603,4,25.07526,1.11883,1.76618,3.768301,231.5770,False
60,1.32682,5,22.77019,1.81473,1.02490,19.342600,164.6092,False
61,2.92625,2,29.46506,1.73803,1.76936,13.366240,305.0610,True
62,2.13318,4,32.29537,2.70841,1.67238,18.911630,464.4641,True
63,1.22943,4,21.41809,1.18544,0.82473,17.034570,80.0909,False
64,1.54575,6,24.45917,2.95433,1.46209,22.098570,404.7424,True
65,1.2117,5,12.76702,1.32077,0.79090,5.805192,37.6275,False
66,2.42567,5,18.14775,2.09605,1.61304,3.561940,185.2187,False
67,1.77595,2,24.29538,1.05505,1.05869,16.227300,82.7907,False
68,1.01754,4,37.36688,1.26841,0.82928,19.148530,51.0423,False
69,1.98595,4,25.95934,1.88408,1.37612,16.292200,322.8683,True
70,2.42982,3,13.90198,1.68707,1.44878,2.806436,65.1926,False
71,1.11135,2,22.23696,2.83477,0.79315,21.456080,26.8254,False
72,2.96108,3,33.20206,1.66527,1.87692,12.330280,518.3750,True
73,2.50964,4,19.34647,2.90422,1.70776,5.953056,238.0756,False
74,1.53069,3,35.67004,2.40971,1.20949,20.209040,117.3622,False
75,1.82252,3,10.54911,1.23295,1.06756,2.411900,23.6427,False
76,2.65721,5,26.98034,1.7789,1.81098,6.542452,447.2202,True
77,2.70831,5,33.97468,2.10978,2.00399,12.828990,928.5190,True
78,2.5818,2,38.45179,2.47075,1.69959,17.434610,273.2897,False
79,1.14228,5,12.21061,2.95929,0.88624,11.514650,62.5276,False
80,2.89033,3,38.56404,2.73504,2.04685,17.455780,682.4993,True
81,2.02912,4,25.84047,2.77382,1.52671,19.016500,401.9708,True
